ID,Nama_Laptop,Harga_Rp,Skor_Utilitas
1,Acer Aspire 14 A14 51M,9299000,75.0
2,Acer Aspire 3 A314-23M,6499000,71.0
3,Acer Aspire 7 PRO A715-59G-516G,13499000,83.0
4,Acer Aspire 7 PRO A715-59G-516S,13499000,83.0
5,Acer Aspire 7 Pro A715-59G-77WV,15499000,91.0
6,Acer Aspire Go 14 AI AG14 71M 5471,11999000,83.0
7,Acer Aspire Go 14 AI AG14-71M-7705,12999000,91.0
8,Acer Aspire Go AG14 72P 50C7,10299000,78.0
9,Acer Aspire GO AG14-72P,10199000,81.0
10,Acer Aspire Go Spin AGSP14-31PT-386W Touch 2in1 – Pure Silver,9499000,69.0
11,Acer Aspire Lite 14 AL14 32P,4999000,65.0
12,Acer Aspire Lite 14 AL14 42P,7899000,71.0
13,Acer Aspire Lite 14 AL14-45P,7999000,71.0
14,Acer Aspire Lite 15 AI AL15 61P R3QE,10499000,69.0
15,Acer Aspire Lite 15 AI AL15 61P R572,12499000,91.0
16,Acer Aspire Lite 15 AL15 42P R50P,8999000,71.0
17,Acer Aspire Lite AL1 14M,5799000,67.0
18,Acer Aspire Lite AL14 32P,5749000,65.0
19,Acer Aspire Lite AL14 32P,5249000,69.0
20,Acer Aspire Lite AL14 37P,7799000,65.0
21,Acer Aspire Lite AL14 37P,8199000,69.0
22,Acer Aspire Lite AL14 37P,5599000,65.0
23,Acer Aspire Lite AL14 37P,6299000,69.0
24,Acer Aspire Lite AL14 53M 36GD,8499000,71.0
25,Acer Aspire Lite AL14-37P-32RZ,8199000,69.0
26,Acer Aspire Lite AL14-51M-31Y7 – Silver,6199000,63.0
27,Acer Gaming Nitro V 15 ANV15-52-7783,18999000,91.0
28,Acer Helios Neo S PHN16S-71-78UQ,27999000,93.0
29,Acer Mate 14 AM1,8999000,77.0
30,Acer Nitro 16S AI ANV16S 71 70XH,22999000,93.0
31,Acer Nitro Lite 16 NL16-71G-506C,14499000,77.0
32,Acer Nitro Lite NL16 71G 75QK,16499000,75.0
33,Acer Nitro Lite NL16 71G 78GF,18499000,91.0
34,Acer Nitro Lite NL16-71G-5613,14999000,77.0
35,Acer Nitro V 15 ANV15 42 R60U,16499000,75.0
36,Acer Nitro V ANV15-51-542G,10349000,77.0
37,Acer Predator Helios Neo 16S PHN16S-71-90GL,29999000,87.0
38,Acer Predator Triton 14 AI PT14 52T 9162,40999000,96.0
39,Acer Swift GO 14 OLED SFG14-73,13499000,86.0
40,Acer Swift GO 14 OLED SFG14-73-9686 – Frost Blue,17999000,98.0
41,Acer Swift GO SFG14 75 5664,15499000,89.0
42,Acer Swift GO SFG14 75 754V,18499000,100.0
43,Acer TravelMate X 14 TMX14-51,10499000,83.0
44,Acer TravelMate X 14 TMX14-51,11999000,91.0
45,Advan AI Gen,9499000,79.0
46,Advan AI Gen,9499000,85.0
47,Advan Soulmate Plus – Grey,5299000,73.0
48,Advan Soulmate X,3799000,52.0
49,Advan Soulmate X2,4299000,61.0
50,Advan T-Book,3499000,50.0
51,Advan TBook,4099000,50.0
52,Advan TBook,4599000,59.0
53,Advan TBook X Transformer – Grey,3999000,50.0
54,Advan Workmate,5499000,65.0
55,Advan WorkMate,8199000,73.0
56,Advan Workmate,5899000,73.0
57,Advan WorkPlus,8499000,86.5
58,Advan Workplus AI,9599000,87.0
59,Advan WorkPlus Heritage,7499000,77.0
60,Advan WorkPlus Heritage,8999000,83.0
61,Advan WorkPro – Grey,7499000,75.0
62,Advan Workpro Lite,6999000,71.0
63,Apple Macbook Air 13 (16GB/512GB),21499000,69.0
64,Asus E210MAO,3999000,69.0
65,Asus ExpertBook P1 P1403CVA-S63850WS,8499000,69.0
66,Asus ExpertBook P1 P1403CVA-S63852WS,8799000,69.0
67,Asus ExpertBook P1 P1403CVA-S63852X,9999000,69.0
68,Asus ExpertBook P1 P1403CVA-S65852WS,10499000,77.0
69,Asus ExpertBook P1 P1403CVA-S65852WS,9799000,77.0
70,Asus ExpertBook P1 PM1403CDA-S65151WS,11499000,83.0
71,Asus ExpertBook P1 PM1403CDA-S65850WS,7699000,81.0
72,Asus ExpertBook P1 PM1403CDA-S65851WS,9999000,69.0
73,Asus ExpertBook P1 PM1403CDA-S67151WS,13299000,91.0
74,Asus ExpertBook P5 P5405CSA-NZ5150WS – Misty Grey,16999000,83.0
75,Asus ExpertBook,47999000,82.0
76,Asus ExpertBook,49999000,82.0
77,Asus Gaming V16 V3607VJ-I535K1T-HM,14499000,67.0
78,Asus Gaming V16 V3607VM-I7N56B6T-HM,20999000,89.0
79,Asus Gaming V16 V3607VU-I545B7T-HM – Matte Black,16499000,81.0
80,Asus Gaming V16 V3607VU-I745B7T-HM,17999000,89.0
81,Asus ROG STRIX G G615JHR-I7N55C6G-HM,27499000,89.0
82,Asus ROG STRIX G G615LH-I7N55C6G-HM,28499000,89.0
